date,symbol,name,board,close,score,turnover,ret_3,ret_5,volume_ratio_5,market_limit_hits,market_limit_hit_rate,market_failed_limit_hits,board_limit_hits,limit_hits_5,failed_limit_hits_5,consecutive_limit_hits,suggest_reason
2026-08-05,600330.SH,天通股份,main,18.12,0.24558660937056143,0.0,0.1055521659548506,-0.0226537216828478,0.9579787203111264,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603466.SH,风语筑,main,11.13,0.24348978133420182,0.0,0.1993534482758623,0.1545643153526972,1.4682276762678628,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002921.SZ,联诚精密,main,22.37,0.24201355679403935,0.0,0.1025135534746182,0.125251509054326,0.9235038267930236,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002364.SZ,中恒电气,main,37.57,0.23982754191089223,0.0,0.0985380116959062,0.0433212996389893,1.2251215874707546,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002938.SZ,鹏鼎控股,main,89.0,0.23982367161426274,0.0,0.1702827087442473,0.0600285850404955,1.0189768761999412,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002980.SZ,华盛昌,main,69.22,0.2389907730157688,0.0,0.0895639855186525,-0.089809335963182,0.585339884546471,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002916.SZ,深南电路,main,332.54,0.23872688632035038,0.0,0.1688576449912127,0.0453945300220055,0.8168890950946587,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603435.SH,嘉德利,main,49.84,0.23784016294722196,0.0,0.1132454768818405,0.0626865671641792,1.1322372632084623,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603757.SH,大元泵业,main,55.72,0.23781457216348645,0.0,0.1020569620253164,-0.0162429378531073,0.9960757144766542,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600186.SH,莲花控股,main,9.2,0.2355062640982736,0.0,0.1825192802056554,0.0747663551401867,1.099894559905594,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002384.SZ,东山精密,main,179.09,0.23226757186523608,0.0,0.1068603213844252,-0.060930208169472,0.8283579743227187,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603938.SH,三孚股份,main,37.39,0.23105858376063906,0.0,0.0592067988668556,-0.05005081300813,0.9963652794453944,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603559.SH,中通国脉,main,9.2,0.22933474820644173,0.0,0.0550458715596329,0.1660329531051965,0.9389860643599188,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,605589.SH,圣泉集团,main,36.21,0.22906955883593383,0.0,0.0919782870928831,0.0030470914127422,1.0178861184933814,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600378.SH,昊华科技,main,41.47,0.22701813236897933,0.0,0.030054644808743,-0.0217032318943147,0.8969321511731576,198,0.0358825661471547,45,165,1.0,0.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002463.SZ,沪电股份,main,111.77,0.22411339747196285,0.0,0.1576385292594511,0.0569267139479905,0.9808286322228128,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,300720.SZ,海川智能,chinext,59.75,0.2220206617806543,0.0,0.4115284668084102,0.0917230038370182,0.9964136589110936,198,0.0358825661471547,45,26,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002348.SZ,高乐股份,main,11.02,0.21685585770460467,0.0,0.1913513513513514,0.1031031031031031,0.4565821236946104,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,688661.SH,和林微纳,star,93.79,0.21617382817787653,0.0,0.3701972242512783,0.1617738139477269,1.0182729661600294,198,0.0358825661471547,45,6,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000710.SZ,贝瑞基因,main,9.24,0.21546054137432802,0.0,0.1593475533249686,0.1593475533249686,1.8310584071620144,198,0.0358825661471547,45,165,2.0,1.0,1.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600712.SH,南宁百货,main,5.52,0.21009685182031598,0.0,0.0514285714285713,0.1922246220302375,1.305016844537197,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,601126.SH,四方股份,main,42.13,0.20907220101410182,0.0,0.1454594888526372,0.0461882294512043,0.8462363304575179,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002821.SZ,凯莱英,main,161.61,0.20707414272769475,0.0,0.1072970195272355,0.0270081342145398,0.6844059600057312,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600396.SH,华电辽能,main,16.37,0.2050867999816414,0.0,0.12585969738652,-0.0126658624849214,1.1279899430536655,198,0.0358825661471547,45,165,1.0,0.0,0.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,300209.SZ,行云科技,chinext,33.64,0.20496792517874898,0.0,0.2888888888888887,0.2514880952380953,1.4553447560994264,198,0.0358825661471547,45,26,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002779.SZ,中坚科技,main,67.64,0.20405889081852455,0.0,0.2262509064539521,0.1971681415929203,1.1107011589802074,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600410.SH,华胜天成,main,15.62,0.20338662147408326,0.0,0.2117920868890612,0.1553254437869822,0.7763787812693115,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600379.SH,宝光股份,main,12.35,0.20293445612062913,0.0,0.1695075757575757,0.043956043956044,1.349285746426962,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,688808.SH,联讯仪器,star,1948.8,0.20232776937745897,0.0,0.26875,0.0534054054054053,1.1565005622064677,198,0.0358825661471547,45,6,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,001326.SZ,联域股份,main,51.66,0.2003935339672834,0.0,0.2250414986957551,0.1230434782608695,0.9566678262640318,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000636.SZ,风华高科,main,54.33,0.19976352517398047,0.0,0.0758415841584159,0.2579300764065757,0.9299293316402136,198,0.0358825661471547,45,165,3.0,2.0,0.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆，近期炸板偏多
